Time,Series 1,Series 2,Series 3
27/05/2015,75.4408,0.1239,8.1111
30/05/2015,75.5778,0.1226,8.1223
31/05/2015,75.733,0.1219,8.1372
1/6/2015,76.6002,0.1249,8.2385
2/6/2015,77.5496,0.1245,8.3393
3/6/2015,79.3845,0.1214,8.5283
6/6/2015,79.4028,0.11,8.5046
7/6/2015,79.6675,0.1139,8.5407
8/6/2015,79.5032,0.1183,8.533
9/6/2015,79.0285,0.1194,8.4849
10/6/2015,78.6725,0.1179,8.443
13/06/2015,80.3978,0.1141,8.6195
14/06/2015,79.8957,0.1039,8.5476
15/06/2015,79.5306,0.1024,8.5065
16/06/2015,79.4393,0.1073,8.5039
17/06/2015,79.2932,0.1117,8.4962
20/06/2015,79.6401,0.112,8.5339
21/06/2015,80.3796,0.1117,8.6126
22/06/2015,81.9954,0.1084,8.7794
23/06/2015,83.2095,0.1009,8.898
24/06/2015,83.4377,0.0951,8.9159
27/06/2015,85.1359,0.0949,9.0972
29/06/2015,85.9895,0.0861,9.182
30/06/2015,85.7141,0.0835,9.1514
1/7/2015,86.1456,0.0832,9.1973
4/7/2015,85.5398,0.083,9.1325
5/7/2015,85.2093,0.0887,9.1001
6/7/2015,84.9156,0.0907,9.0701
7/7/2015,85.4571,0.0944,9.131
8/7/2015,84.6769,0.0942,9.0475
11/7/2015,83.8875,0.0939,8.9629
12/7/2015,83.5938,0.0993,8.9371
13/07/2015,83.7131,0.0989,8.9493
14/07/2015,83.7131,0.0988,8.9493
15/07/2015,83.4285,0.1024,8.9234
18/07/2015,83.7865,0.1016,8.9606
19/07/2015,85.1818,0.0996,9.1071
20/07/2015,84.3832,0.0922,9.0145
21/07/2015,84.0344,0.0901,8.9756
22/07/2015,83.7865,0.0908,8.9496
25/07/2015,84.2639,0.0902,9.0002
26/07/2015,85.3929,0.0885,9.1196
27/07/2015,85.4663,0.0849,9.1255
28/07/2015,84.9064,0.1023,9.0813
29/07/2015,85.9712,0.1022,9.195
1/8/2015,86.3016,0.1032,9.2318
2/8/2015,85.9895,0.1024,9.1973
3/8/2015,85.8518,0.1111,9.1977
4/8/2015,84.6218,0.1177,9.0809
5/8/2015,83.9151,0.1142,8.9967
8/8/2015,84.8972,0.1112,9.0956
9/8/2015,85.1175,0.1085,9.114
